title,price,description,distCity,uptime,productArea,photoSample
"BÁN ĐẤT NGAY SÔNG VÀ TRUNG TÂM THÀNH PHỐ ĐÀ NẴNG, LH: 0905838433",Giá thỏa thuận,"- Lô đất ngay con sông lớn sông Hàn, vị trí trung tâm thành phố (vị trí địa lý là điểm giữa của các Quận Hải Châu, Quận Ngũ Hành Sơn, Quận Cẩm Lệ), 5 phút đi ô tô ra biển Đà Nẵng. Vì vậy rất thuận ti...","Ngũ Hành Sơn, Đà Nẵng",21/04/2022,105 m²,
CHÍNH CHỦ BÁN ĐẤT - ĐƯỜNG NGUYỄN NHƯỢC PHÁP - PHƯỚC LÝ - HÒA MINH - LIÊN CHIỂU,3.45 tỷ,"Cần tiền xây nhà nên tôi bán lô đất mặt đường Nguyễn Nhược Pháp. + Diện tích: 100m2. + Mặt tiền: 5m. + Đường 10,5m. + Sổ đỏ đứng tên tôi (chính chủ). Giá: 3 tỷ 450 triệu (có bớt cho thiện chí mua). L...","Liên Chiểu, Đà Nẵng",19/04/2022,100 m²,
"CHÍNH CHỦ CẦN BÁN MẶT TIỀN ĐƯỜNG LÊ VĂN THỨ, SƠN TRÀ. GIÁ RẺ NHẤT THỊ TRƯỜNG",75 triệu/m²,Tôi chính chủ cần bán mặt tiền đường Lê Văn Thứ - Tuyến đường thông xuyên suốt từ Ngô Quyền thông ra mặt biển Võ Nguyên Giáp giá rẻ nhất thị trường. Giá chỉ: 75 triệu/m2. Liên hệ: Thảo L...,"Sơn Trà, Đà Nẵng",18/04/2022,140 m²,
TÔI CẦN BÁN GẤP RẺ HƠN THỊ TRƯỜNG 600TR - CĂN SHOPHOUSE BIỂN GIÁ CHỈ HƠN 12 TỶ TÍ THÔI 0848990***,12.5 tỷ,"Giá nhà thuê khu vực này nhà thô 25tr - nhà hoàn thiện là 40tr. Vừa ở vừa cho thuê có ngay dòng tiền + giá trị BĐS lại tăng theo thời gian.Cần bán shophouse tâm huyết. - 4 tầng, 2 mặt tiền đường Nguyễn Sinh Sắc rộng 60m. - Đường sau nhà rộng 7.5m. - Đối diện trung tâm quận Liên Chiểu, Đà Nẵng. - Cách bệnh viện 200m. - Diện tích đất: 7x20m = 140m2. - Diện tích sàn xây dựng: 497m...","Liên Chiểu, Đà Nẵng",16/04/2022,140 m²,
"CẦN BÁN KHÁCH SẠN 5 TẦNG ĐƯỜNG AN HẢI ĐÔNG 1, TRUNG TÂM PHỐ BIỂN ĐÀ NẴNG",Giá thỏa thuận,"Vị trí: - Cách đường vàng Nguyễn Văn Thoại tầm 30m. - Sát bãi biển. - Khu vực trung tâm của phố biển Đà Nẵng. - Vị trí miễn bàn. - Khách sạn đang hoạt động tốt. - Công suất 5 tầng, 17 phòng, full nội thất, có thang máy. - DT sàn đang sử dụng 849m2. - DT đất: 155,8m2. - Hướng: Đông Bắc. - Giá chỉ: 2X tỷ. - Liên hệ, xem, đặt cọc ngay.","Sơn Trà, Đà Nẵng",15/04/2022,155.8 m²,
"CẦN BÁN KHÁCH SẠN VIP TRUNG TÂM BIỂN MỸ KHUÊ, CÁCH VÕ NGUYÊN GIÁP 40M",Giá thỏa thuận,"Cần bán khách sạn vị trí siêu đẹp. - Vị trí cách đường Võ Nguyên Giáp 40m. - Ngay khu trung tâm của phố biển Đà Nẵng. - Ngay khu Phố Tây An Thượng. - Sát bãi tắm Mỹ Khuê Đà Nẵng. - Vị trí vip. - Khách sạn đang hoạt động tốt, diện tích sử dụng 4 tầng. Sử dụng 17 phòng, có thang máy. - Diện tích sàn đang sử dụng là: 716m2. - Diện tích đất: 328m2. - Hướng: Tây Bắc. - Giá chỉ: 2X t...","Ngũ Hành Sơn, Đà Nẵng",15/04/2022,328 m²,
"BIỆT THỰ FUSION RESORT & VILLAS DA NANG VỊ TRÍ ĐỘC TÔN, SẢN PHẨM GIỚI HẠN - 0932560***",Giá thỏa thuận,Fusion Resort & Villas Da Nang có gì hot mà 6/2019 KH mang balo tiền ra tận Hà Nội để dự lễ mở bán và rất nhiều KH không mua được...Quy mô 15.075 ha chỉ có 85 căn biệt thự GĐ1 đã bán 44 căn. GĐ2 chỉ ...,"Ngũ Hành Sơn, Đà Nẵng",14/04/2022,537 m²,
CHIẾT KHẤU ĐẾN 14% KHI SỞ HỮU CĂN HỘ LUXURY VIEW BIỂN LÂU DÀI 5* HIẾM HOI TẠI THỊ TRƯỜNG ĐÀ NẴNG,5.8 tỷ,"The Sang Residence - Tòa căn hộ duy nhất ở Đà Nẵng sở hữu quỹ đất khan hiếm sát biển Mỹ Khê với vị trí cực kì đắc địa, sổ hồng sở hữu vĩnh viễn. Không bỏ lỡ cơ hội duy nhất sở hữu căn hộ view biển tr...","Ngũ Hành Sơn, Đà Nẵng",13/04/2022,82.5 m²,
"CẦN BÁN 2 LÔ LIỀN KỀ SỐ 236 ĐƯỜNG KINH DƯƠNG VƯƠNG, PHƯỜNG THANH KHÊ TÂY, QUẬN THANH KHÊ",Giá thỏa thuận,"Thông tin thông số như sau: Diện tích lần lượt là: 104,2m2 và 104,5m2, mặt tiền mỗi lô là 4.5m. Vỉa hè rộng rãi 6m, đường trước nhà 15m. Đông dân cư, an ninh tốt, gần trường THPT Thanh Khê, Khu kinh ...","Thanh Khê, Đà Nẵng",21/04/2022,208.7 m²,
BIỆT THỰ NGHỈ DƯỠNG VIEW SÔNG - 3 MẶT TIỀN SIÊU THOÁNG - VỊ TRÍ ĐỘC TÔN - TIỆN ÍCH LIỀN KỀ,25 tỷ,Chính chủ bán biệt thự One River Đà Nẵng mặt sông Cổ Cò - căn góc 3 mặt tiền. Vị trí hot nhất dự án: - Biệt thự 2 mặt tiền: 1 mặt sông - 1 mặt đường 33m. - Mặt sau nhà là đường đi bộ mặt tiền sông Cổ...,"Ngũ Hành Sơn, Đà Nẵng",21/04/2022,340 m²,
